observer.initials,study_id,observation_id,first_author,doi,title,year,journal,exp_year,country,exp_lat,exp_long,site,basin,collection_lat,collection_long,collection_mon,collection_year,organism,no_spp,life_stage,source,species_name,exp_iv,trt_no,trt_name,row_no_per_study,other_variables_measured,list_all_variables_measured,flow_rate,multiple_stressor,multiple_stressor_combo,trt_replicate,org_no,host_genotyped,no_genotypes,col_rep,time_zero,feeding,heal_time,acclimation,acclimation_time,stressor_duration,stressor_duration_days,observation_delay,heat.control,temp_exposure,temp_variability,temp_data_availability,temp_filename,collection_temp,control_temp,observation_heating_type,observation_temp,thermal_history,lab_stress,dhd_report,heating_rate_record,heating_duration_record,max_heating_duration_record,heating_exposure_type,light_type,tank,light_intensity,par,max_light_intensity,light_cycle,response_variable,sym,sym_method,hemo,sym_method_citation,totalchl,chla,chlc,chl_method,chl_method_citation,totalchlpcell,chlapcell,chlpcell_method_report,sa_method,sa_citation,fvfm,fvfm_name,dark_adapt,fvfm_time,dark_adapt_time,ros,ros_type,ros_method,ros_citation,raw_data,email,note,genus
AU,S0005,OBO4003,Lesser,doi.org/10.1007/s003380050073,Oxidative stress causes coral bleaching during exposure to elevated temperatures,1997,Coral Reefs,1995,Belize,NR,NR,Carrie Bow Cay,Caribbean,16.48,-88.05,NR,1995,coral,1,adult,L,Agaricia tenuifolia,"T, Antioxidant",1 temp x 3 antioxidant = 3,Heat,3,YES,"T, L",NR,NO,,1,4,NO,NR,NR,NO,NO,0,YES,3 to 5,336,14,0,HEAT,INCREASED VARIABLE,YES,YES,S0005_OBO4003_temp.csv,NR,28,DURING,29.41,COMMON,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,2100-2500,400-700,NR,NR,S,0.7665,hemocytometry,3,NR,,,,,,"",,,Aluminum foil method,"Marsh, 1970","",,,,"","",,,,YES,michael.lesser@unh.edu,"Depth = <1m; Specific collection temp NR but range from 28-32 degrees C; Measurements were collected at 15:00, I took temperature until 14:58:58 as that was the closest data point",Agari
AU,S0011,OBO4806,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Time0,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,0,0,0,CONTROL,CONSTANT,NO,NO,S0011_OBO4806_temp.csv,NR,24,BEFORE,24,DIFFERENT,NO,C,C,C,C,,NATURAL,OUTDOOR,133,NR,NR,NR,C,,,,,2.19,1.45,0.74,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010","",Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4807,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Chilled_Day1,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,0,0,0,CONTROL,CONSTANT,NO,NO,S0011_OBO4807_temp.csv,NR,24,BEFORE,24,DIFFERENT,NO,C,C,C,C,,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.63,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4813,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day1,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,0,0,0,CONTROL,CONSTANT,NO,NO,S0011_OBO4813_temp.csv,NR,24,BEFORE,24,DIFFERENT,NO,C,C,C,C,,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.64,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4814,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day3,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,48,2,0,HEAT,INCREASED,NO,NO,S0011_OBO4814_temp.csv,NR,24,DURING,25,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.6,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4815,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day5,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,96,4,0,HEAT,INCREASED,NO,NO,S0011_OBO4815_temp.csv,NR,24,DURING,26,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.63,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4816,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day7,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,144,6,0,HEAT,INCREASED,NO,NO,S0011_OBO4816_temp.csv,NR,24,DURING,27,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.59,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4817,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day9,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,192,8,0,HEAT,INCREASED,NO,NO,S0011_OBO4817_temp.csv,NR,24,DURING,28,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.6,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4818,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day11,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,240,10,0,HEAT,INCREASED,NO,NO,S0011_OBO4818_temp.csv,NR,24,DURING,29,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.63,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
AU,S0011,OBO4819,Jurriaans,doi.org/10.3354/meps13203,Seasonal acclimation of thermal performance in two species of reef-building corals,2020,Marine Ecology Progress Series,2015,Australia,-18.6161,146.4973,"Palm Islands, central Great Barrier Reef",Pacific,-18.44,146.35,April,2015,coral,2,adult,L,Acropora valenciennesi,"Season, Species, T, M", 2 seasons x 2 species x 2 temp treatments x 6 timepoints + 1 timepoint for one season-temp combination for both species (1x2 = 2) + 2 timepoints for one season-temp combination for both species (2x2 = 4) + a time zero timepoint for each season-species combination (1x4 = 4) = 48 + 2 + 4 + 4 = 58,Winter_Acropora_Heated_Day13,58,YES,L,NR,NO,,1,25,NO,23,NO,YES,YES,0,YES,7,288,12,0,HEAT,INCREASED,NO,NO,S0011_OBO4819_temp.csv,NR,24,DURING,30,DIFFERENT,YES,C,C,C,C,GRADUAL,NATURAL,OUTDOOR,133,NR,NR,NR,F,,,,,,,,Spectrophotometric equations,"Jeffrey and Humphrey, 1975","",,,Single wax dipping method,"Veal et al., 2010",0.66,Maximum quantum yield of PSII,YES,MIDDAY,40,"",,,,YES,saskia.jurriaans@my.jcu.edu.au,"Depth: 4-6m. Mocked temperature using Figure S2 and description in Methods and dates in raw data file. Timezero observations: Before fragments were moved into experimental aquaria from the raceway tank. Day1 observations: After moving into the experimental aquaria and aclcimitization, but heating has not begun.",Acrop
