filename,study_id,observation_id,max.temp.C,duration.days,dhd.C.days,range.C,rate.C.day-1
S0005_OBO4003,S0005,OBO4003,36.29,11.28,55.7429078,8.34,5.921893491
S0011_OBO4814,S0011,OBO4814,25,1.75,2.6,1,0.5
S0011_OBO4815,S0011,OBO4815,26,3.75,4.56,2,0.5
S0011_OBO4816,S0011,OBO4816,27,5.75,6.547826087,3,0.5
S0011_OBO4817,S0011,OBO4817,28,7.75,8.535483871,4,0.5
S0011_OBO4818,S0011,OBO4818,29,9.75,10.52820513,5,0.5
S0011_OBO4819,S0011,OBO4819,30,11.75,12.52340426,6,0.5
S0011_OBO4820,S0011,OBO4820,31,13.75,14.52,7,0.5
S0011_OBO4829,S0011,OBO4829,25,1.75,2.6,1,0.5
S0011_OBO4830,S0011,OBO4830,26,3.75,4.56,2,0.5
S0011_OBO4831,S0011,OBO4831,27,5.75,6.547826087,3,0.5
S0011_OBO4832,S0011,OBO4832,28,7.75,8.535483871,4,0.5
S0011_OBO4833,S0011,OBO4833,29,9.75,10.52820513,5,0.5
S0011_OBO4834,S0011,OBO4834,30,11.75,12.52340426,6,0.5
S0011_OBO4835,S0011,OBO4835,31,13.75,14.52,7,0.5
S0011_OBO4845,S0011,OBO4845,30,1.75,2.571428571,1,0.5
S0011_OBO4846,S0011,OBO4846,31,3.75,4.533333333,2,0.5
S0011_OBO4847,S0011,OBO4847,32,5.75,6.52173913,3,0.5
S0011_OBO4848,S0011,OBO4848,33,7.75,8.516129032,4,0.5
S0011_OBO4849,S0011,OBO4849,34,9.75,10.51282051,5,0.5
S0011_OBO4859,S0011,OBO4859,30,1.75,2.571428571,1,0.5
S0011_OBO4860,S0011,OBO4860,31,3.75,4.533333333,2,0.5
S0011_OBO4861,S0011,OBO4861,32,5.75,6.52173913,3,0.5
S0011_OBO4862,S0011,OBO4862,33,7.75,8.516129032,4,0.5
S0011_OBO4863,S0011,OBO4863,34,9.75,10.51282051,5,0.5
S0012_OBO4539,S0012,OBO4539,31.6,19.5,41.47179487,3.5,0.18380744
S0012_OBO4540,S0012,OBO4540,31.6,32.5,58.48307692,3.5,0.18380744
S0012_OBO4541,S0012,OBO4541,31.6,32.96,58.83495146,3.5,0.18380744
S0012_OBO4542,S0012,OBO4542,31.6,32.96,58.83495146,3.5,0.18380744
S0012_OBO4543,S0012,OBO4543,31.6,32.96,58.83495146,3.5,0.18380744
S0012_OBO4544,S0012,OBO4544,31.6,32.96,58.83495146,3.5,0.18380744
S0012_OBO4545,S0012,OBO4545,31.6,32.96,58.83495146,3.5,0.18380744
S0018_OBO3516,S0018,OBO3516,32.62,289.39,1023.597014,8.98,0.038923019
S0018_OBO3517,S0018,OBO3517,32.62,290.39,1026.23465,8.98,0.038923019
S0018_OBO3518,S0018,OBO3518,32.72,291.39,1028.909709,9.08,0.038998434
S0018_OBO3519,S0018,OBO3519,32.72,292.39,1031.576388,9.08,0.038998434
S0018_OBO3520,S0018,OBO3520,32.72,293.39,1034.280889,9.08,0.038998434
S0018_OBO3521,S0018,OBO3521,32.96,294.39,1037.182445,9.32,0.039463075
S0018_OBO3522,S0018,OBO3522,32.98,295.39,1040.225566,9.34,0.039369484
S0018_OBO3523,S0018,OBO3523,33.09,296.39,1043.384595,9.45,0.039737768
S0018_OBO3524,S0018,OBO3524,33.09,297.39,1046.507852,9.45,0.039737768
S0018_OBO3525,S0018,OBO3525,33.09,298.39,1049.539562,9.45,0.039737768
S0018_OBO3526,S0018,OBO3526,33.09,299.39,1052.450382,9.45,0.039737768
S0018_OBO3527,S0018,OBO3527,33.09,300.39,1055.333134,9.45,0.039737768
S0018_OBO3528,S0018,OBO3528,33.09,301.39,1058.208633,9.45,0.039737768
S0018_OBO3570,S0018,OBO3570,34.44,289.39,842.6225388,10.835,0.038261808
S0018_OBO3571,S0018,OBO3571,34.44,290.39,844.7421967,10.835,0.038261808
S0018_OBO3572,S0018,OBO3572,34.44,291.39,847.1538368,10.835,0.038261808
S0018_OBO3573,S0018,OBO3573,34.86,292.39,849.952312,11.255,0.03865622
S0018_OBO3574,S0018,OBO3574,34.94,293.39,852.742072,11.335,0.038798193
S0018_OBO3575,S0018,OBO3575,35.13,294.39,855.5880176,11.525,0.039307454
S0018_OBO3576,S0018,OBO3576,35.16,295.39,858.57885,11.555,0.039280917
S0018_OBO3577,S0018,OBO3577,35.16,296.39,861.4311093,11.555,0.039280917
S0018_OBO3578,S0018,OBO3578,35.16,297.39,864.2316369,11.555,0.039280917
S0018_OBO3579,S0018,OBO3579,35.16,298.39,866.8636231,11.555,0.039280917
S0018_OBO3580,S0018,OBO3580,35.16,299.39,869.2306239,11.555,0.039280917
S0018_OBO3581,S0018,OBO3581,35.16,300.39,871.5980775,11.555,0.039280917
S0018_OBO3582,S0018,OBO3582,35.16,301.39,873.8789492,11.555,0.039280917
S0018_OBO3584,S0018,OBO3584,28.0845,30.39,223.0486015,2.085,0.091299985
S0018_OBO3585,S0018,OBO3585,30.0735,60.39,350.291174,4.074,0.071635143
S0018_OBO3586,S0018,OBO3586,30.482,91.39,538.9492395,5.986,0.299977031
S0018_OBO3587,S0018,OBO3587,31.484,121.39,667.0975986,6.988,0.126926337
S0018_OBO3588,S0018,OBO3588,31.88,152.39,795.7136886,7.384,0.088926654
S0018_OBO3589,S0018,OBO3589,32.2785,183.39,899.323949,7.7825,0.074739404
S0018_OBO3590,S0018,OBO3590,32.2785,190.39,906.8317007,7.7825,0.074739404
S0018_OBO3591,S0018,OBO3591,32.2785,197.39,905.20843,7.7825,0.074739404
S0018_OBO3592,S0018,OBO3592,32.2785,204.39,905.8369343,7.7825,0.074739404
S0018_OBO3593,S0018,OBO3593,32.2785,211.39,905.8344434,7.7825,0.074739404
S0018_OBO3594,S0018,OBO3594,32.2785,226.39,911.4431799,7.7825,0.074739404
S0018_OBO3595,S0018,OBO3595,40.228,242.39,906.7900367,15.732,0.09084525
S0018_OBO3596,S0018,OBO3596,40.228,257.39,907.7755896,15.732,0.09084525
S0018_OBO3611,S0018,OBO3611,28.0845,30.39,223.0486015,2.085,0.091299985
S0018_OBO3612,S0018,OBO3612,30.0735,60.39,350.291174,4.074,0.071635143
S0018_OBO3613,S0018,OBO3613,30.482,91.39,538.9492395,5.986,0.299977031
S0018_OBO3614,S0018,OBO3614,31.484,121.39,667.0975986,6.988,0.126926337
S0018_OBO3615,S0018,OBO3615,31.88,152.39,795.7136886,7.384,0.088926654
S0018_OBO3616,S0018,OBO3616,32.2785,183.39,899.323949,7.7825,0.074739404
S0018_OBO3617,S0018,OBO3617,32.2785,190.39,906.8317007,7.7825,0.074739404
S0018_OBO3618,S0018,OBO3618,32.2785,197.39,905.20843,7.7825,0.074739404
S0018_OBO3619,S0018,OBO3619,32.2785,204.39,905.8369343,7.7825,0.074739404
S0018_OBO3620,S0018,OBO3620,32.2785,211.39,905.8344434,7.7825,0.074739404
S0018_OBO3621,S0018,OBO3621,32.2785,226.39,911.4431799,7.7825,0.074739404
S0018_OBO3622,S0018,OBO3622,40.228,242.39,906.7900367,15.732,0.09084525
S0018_OBO3623,S0018,OBO3623,40.228,257.39,907.7755896,15.732,0.09084525
S0018_OBO3624,S0018,OBO3624,40.228,289.39,932.3375963,15.732,0.09084525
S0018_OBO3625,S0018,OBO3625,40.228,290.39,935.1227143,15.732,0.09084525
S0018_OBO3626,S0018,OBO3626,40.228,291.39,937.6509592,15.732,0.09084525
S0018_OBO3627,S0018,OBO3627,40.228,292.39,939.9371422,15.732,0.09084525
S0018_OBO3628,S0018,OBO3628,40.228,293.39,942.3467705,15.732,0.09084525
S0018_OBO3629,S0018,OBO3629,40.228,294.39,945.0172119,15.732,0.09084525
S0018_OBO3630,S0018,OBO3630,40.228,295.39,947.7997393,15.732,0.09084525
S0018_OBO3631,S0018,OBO3631,40.228,296.39,950.7223017,15.732,0.09084525
S0018_OBO3632,S0018,OBO3632,40.228,297.39,953.688157,15.732,0.09084525
S0018_OBO3633,S0018,OBO3633,40.228,298.39,956.6901337,15.732,0.09084525
S0018_OBO3634,S0018,OBO3634,40.228,299.39,959.3948595,15.732,0.09084525
S0018_OBO3635,S0018,OBO3635,40.228,300.39,962.0640001,15.732,0.09084525
S0018_OBO3636,S0018,OBO3636,40.228,301.39,964.6912738,15.732,0.09084525
S0018_OBO3638,S0018,OBO3638,29.8155,30.39,261.6024844,5.5605,0.271842472
S0018_OBO3639,S0018,OBO3639,31.4715,60.39,397.103494,7.614,3.358088821
S0018_OBO3640,S0018,OBO3640,32.3685,91.39,592.9333461,8.511,0.325347491
S0018_OBO3641,S0018,OBO3641,33.001,121.39,725.7509762,9.1435,0.147055788
S0018_OBO3642,S0018,OBO3642,33.3,152.39,842.7983168,9.4425,0.119033529
S0018_OBO3643,S0018,OBO3643,34.0845,183.39,949.2931267,10.227,0.081686663
S0018_OBO3644,S0018,OBO3644,34.0975,190.39,962.3087478,10.24,0.079900298
S0018_OBO3645,S0018,OBO3645,34.0975,197.39,965.6937636,10.24,0.079900298
S0018_OBO3646,S0018,OBO3646,34.0975,204.39,970.0239787,10.24,0.079900298
S0018_OBO3647,S0018,OBO3647,34.0975,211.39,972.1015989,10.24,0.079900298
S0018_OBO3648,S0018,OBO3648,34.0975,226.39,978.4757851,10.24,0.079900298
S0018_OBO3649,S0018,OBO3649,34.0975,242.39,985.9216119,10.24,0.079900298
S0018_OBO3650,S0018,OBO3650,34.0975,257.39,992.8489937,10.24,0.079900298
S0018_OBO3665,S0018,OBO3665,29.8155,30.39,261.6024844,5.5605,0.271842472
S0018_OBO3666,S0018,OBO3666,31.4715,60.39,397.103494,7.614,3.358088821
S0018_OBO3667,S0018,OBO3667,32.3685,91.39,592.9333461,8.511,0.325347491
S0018_OBO3668,S0018,OBO3668,33.001,121.39,725.7509762,9.1435,0.147055788
S0018_OBO3669,S0018,OBO3669,33.3,152.39,842.7983168,9.4425,0.119033529
S0018_OBO3670,S0018,OBO3670,34.0845,183.39,949.2931267,10.227,0.081686663
S0018_OBO3671,S0018,OBO3671,34.0975,190.39,962.3087478,10.24,0.079900298
S0018_OBO3672,S0018,OBO3672,34.0975,197.39,965.6937636,10.24,0.079900298
S0018_OBO3673,S0018,OBO3673,34.0975,204.39,970.0239787,10.24,0.079900298
S0018_OBO3674,S0018,OBO3674,34.0975,211.39,972.1015989,10.24,0.079900298
S0018_OBO3675,S0018,OBO3675,34.0975,226.39,978.4757851,10.24,0.079900298
S0018_OBO3676,S0018,OBO3676,34.0975,242.39,985.9216119,10.24,0.079900298
S0018_OBO3677,S0018,OBO3677,34.0975,257.39,992.8489937,10.24,0.079900298
S0018_OBO3678,S0018,OBO3678,34.39,289.39,1016.616903,10.5325,0.045801776
S0018_OBO3679,S0018,OBO3679,34.39,290.39,1018.847624,10.5325,0.045801776
S0018_OBO3680,S0018,OBO3680,34.65,291.39,1021.016121,10.7925,0.046341151
S0018_OBO3681,S0018,OBO3681,34.65,292.39,1023.155045,10.7925,0.046341151
S0018_OBO3682,S0018,OBO3682,34.65,293.39,1025.299565,10.7925,0.046341151
S0018_OBO3683,S0018,OBO3683,34.81,294.39,1027.637846,10.9525,0.046417776
S0018_OBO3684,S0018,OBO3684,34.84,295.39,1030.291653,10.9825,0.046353245
S0018_OBO3685,S0018,OBO3685,35.1,296.39,1033.159781,11.2425,0.04724153
S0018_OBO3686,S0018,OBO3686,35.1,297.39,1035.926875,11.2425,0.04724153
S0018_OBO3687,S0018,OBO3687,35.13,298.39,1038.633934,11.2725,0.046977585
S0018_OBO3688,S0018,OBO3688,35.13,299.39,1041.326749,11.2725,0.046977585
S0018_OBO3689,S0018,OBO3689,35.13,300.39,1044.070979,11.2725,0.046977585
S0018_OBO3690,S0018,OBO3690,35.13,301.39,1046.715875,11.2725,0.046977585
S0018_OBO3726,S0018,OBO3726,32.46,289.39,130.4591624,11.893,0.051549937
S0018_OBO3727,S0018,OBO3727,32.46,290.39,134.9209305,11.893,0.051549937
S0018_OBO3728,S0018,OBO3728,32.92,291.39,139.6169086,12.353,0.053006109
S0018_OBO3729,S0018,OBO3729,32.92,292.39,144.4604911,12.353,0.053006109
S0018_OBO3730,S0018,OBO3730,32.95,293.39,149.2641024,12.383,0.052775494
S0018_OBO3731,S0018,OBO3731,33.31,294.39,154.2369204,12.743,0.05398782
S0018_OBO3732,S0018,OBO3732,33.39,295.39,159.291171,12.823,0.054182485
S0018_OBO3733,S0018,OBO3733,33.39,296.39,163.9949762,12.823,0.054182485
S0018_OBO3734,S0018,OBO3734,33.39,297.39,168.6839605,12.823,0.054182485
S0018_OBO3735,S0018,OBO3735,33.39,298.39,173.2448641,12.823,0.054182485
S0018_OBO3736,S0018,OBO3736,33.39,299.39,177.6037176,12.823,0.054182485
S0018_OBO3737,S0018,OBO3737,33.39,300.39,181.9511602,12.823,0.054182485
S0018_OBO3738,S0018,OBO3738,33.39,301.39,186.2772852,12.823,0.054182485
S0018_OBO3774,S0018,OBO3774,34.68,289.37,209.2833483,15.101,0.077381777
S0018_OBO3775,S0018,OBO3775,34.7,290.37,214.3852206,15.121,0.076699567
