observer initials,study_id,observation_id,first_author,doi,title,year,journal,exp_year,country,exp_lat,exp_long,site,basin,collection_lat,collection_long,collection_mon,collection_year,organism,no_spp,life_stage,source,species_name,exp_iv,trt_no,trt_name,row_no_per_study,other_variables_measured,list_all_variables_measured,flow_rate,multiple_stressor,multiple_stressor_combo,trt_replicate,org_no,host_genotyped,no_genotypes,col_rep,time_zero,feeding,heal_time,acclimation,acclimation_time,stressor_duration,stressor_duration_days,observation_delay,heat-control,temp_exposure,temp_variability,temp_data_availability,temp_filename,collection_temp,control_temp,observation_heating_type,observation_temp,thermal_history,lab_stress,dhd_report,heating_rate_record,heating_duration_record,max_heating_duration_record,heating_exposure_type,light_type,tank,light_intensity,par,max_light_intensity,light_cycle,response_variable,sym,sym_method,hemo,sym_method_citation,totalchl,chla,chlc,chl_method,chl_method_citation,totalchlpcell,chlapcell,chlpcell_method_report,sa_method,sa_citation,fvfm,fvfm_name,dark_adapt,fvfm_time,dark_adapt_time,ros,ros_type,ros_method,ros_citation,raw_data,email,note
JM,S0038,OBO_3827,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day00,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,BEFORE,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3203504,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.478,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3828,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day02,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3859583,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.452,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3829,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day04,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3612211,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.442,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3830,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day06,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3601706,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.438,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3831,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day08,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3804861,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.454,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3832,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day10,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,2838373,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.441,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3833,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day12,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,2812147,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.433,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3834,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,Control_Day14,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,NA,NA,26,DURING,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3003753,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.419,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3835,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,HeatTreatment_Day00,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,0,0,0,CONTROL,CONSTANT,NO,NO,S0038_OBO_3835.csv,NA,26,BEFORE,26,COMMON,NO,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3837050,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.478,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3836,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,HeatTreatment_Day02,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,48,2,0,HEAT,INCREASED,NO,NO,S0038_OBO_3836.csv,NA,26,DURING,27,COMMON,YES,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,3136440,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.462,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
JM,S0038,OBO_3837,Hartman,https://dx.doi.org/10.3390%2Fmicroorganisms8010020,The Effect of Thermal Stress on the Bacterial Microbiome of Exaiptasia diaphana,2020,Microorganisms,NR,Australia,-37.7983,144.961,NA,NA,NA,NA,NA,NA,anemone,1,adult,L,Exaiptasia diaphana,"T, M",2 Temp treatments x 8 time points,HeatTreatment_Day04,16,NO,"L, Sa",NR,NO,NA,72,72,NA,NA,NR,YES,NO,NA,YES,10,96,4,0,HEAT,INCREASED,NO,NO,S0038_OBO_3837.csv,NA,26,DURING,28,COMMON,YES,C,R,R,C,GRADUAL,ARTIFICIAL,NR,NR,NR,33.8,12,SF,2443102,Automated cell counter,NA,This paper,,,,NA,NA,,,NA,NR,NA,0.425,maximum quantum yield,YES,NIGHTTIME,10,,NA,NA,NA,YES,leonmhartman@gmail.com <leonmhartman@gmail.com>;,corals were collected from tank at University of Melbourne
